date,nasdaq100,mom_6m,mom_8m,mom_10m,mom_12m,fenetres_positives,cible_lqq,action,mult_strategie,mult_hodl_lqq
2024-04-30,17440.69,HAUSSE,HAUSSE,HAUSSE,HAUSSE,4,1.0,CONSERVER,94.3634,12.5596
2024-05-31,18536.65,HAUSSE,HAUSSE,HAUSSE,HAUSSE,4,1.0,CONSERVER,106.4526,14.1686
2024-06-28,19682.87,HAUSSE,HAUSSE,HAUSSE,HAUSSE,4,1.0,CONSERVER,119.8768,15.9554
2024-07-31,19362.43,HAUSSE,HAUSSE,HAUSSE,HAUSSE,4,1.0,CONSERVER,115.4278,15.3632
2024-08-30,19574.64,HAUSSE,HAUSSE,HAUSSE,HAUSSE,4,1.0,CONSERVER,117.3207,15.6151
2024-09-30,20060.69,HAUSSE,HAUSSE,HAUSSE,HAUSSE,4,1.0,CONSERVER,122.7982,16.3442
2024-10-31,19890.42,HAUSSE,HAUSSE,HAUSSE,HAUSSE,4,1.0,CONSERVER,120.4508,16.0318
2024-11-29,20930.37,HAUSSE,HAUSSE,HAUSSE,HAUSSE,4,1.0,CONSERVER,133.091,17.7141
2024-12-31,21012.17,HAUSSE,HAUSSE,HAUSSE,HAUSSE,4,1.0,CONSERVER,133.6883,17.7936
2025-01-31,21478.05,HAUSSE,HAUSSE,HAUSSE,HAUSSE,4,1.0,CONSERVER,139.226,18.5307
2025-02-28,20884.41,HAUSSE,HAUSSE,HAUSSE,HAUSSE,4,1.0,CONSERVER,131.2863,17.4739
2025-03-31,19278.45,HAUSSE,HAUSSE,HAUSSE,HAUSSE,4,1.0,CONSERVER,111.1661,14.796
2025-04-30,19571.02,BAISSE,BAISSE,HAUSSE,HAUSSE,2,0.5,VENDRE,111.4218,14.864
2025-05-30,21340.99,BAISSE,BAISSE,BAISSE,HAUSSE,1,0.25,VENDRE,116.5805,17.6168
2025-06-30,22679.01,HAUSSE,HAUSSE,HAUSSE,HAUSSE,4,1.0,ACHETER,131.484,19.8689
2025-07-31,23218.12,HAUSSE,HAUSSE,HAUSSE,HAUSSE,4,1.0,CONSERVER,137.7336,20.8133
2025-08-29,23415.42,HAUSSE,HAUSSE,HAUSSE,HAUSSE,4,1.0,CONSERVER,139.8102,21.1271
2025-09-30,24679.99,HAUSSE,HAUSSE,HAUSSE,HAUSSE,4,1.0,CONSERVER,155.2158,23.4551
2025-10-31,25858.13,HAUSSE,HAUSSE,HAUSSE,HAUSSE,4,1.0,CONSERVER,169.8291,25.6634
2025-11-28,25434.89,HAUSSE,HAUSSE,HAUSSE,HAUSSE,4,1.0,CONSERVER,163.7345,24.7424
2025-12-31,25249.85,HAUSSE,HAUSSE,HAUSSE,HAUSSE,4,1.0,CONSERVER,161.1219,24.3476
2026-01-30,25552.39,HAUSSE,HAUSSE,HAUSSE,HAUSSE,4,1.0,CONSERVER,164.7697,24.8988
2026-02-27,24960.04,HAUSSE,HAUSSE,HAUSSE,HAUSSE,4,1.0,CONSERVER,156.8174,23.6971
2026-03-31,23740.19,HAUSSE,HAUSSE,HAUSSE,HAUSSE,4,1.0,CONSERVER,141.2649,21.3469
2026-04-30,27452.12,BAISSE,HAUSSE,HAUSSE,HAUSSE,3,0.75,VENDRE,176.5951,28.4654
2026-05-29,30333.18,HAUSSE,HAUSSE,HAUSSE,HAUSSE,4,1.0,ACHETER,215.0853,34.6696
2026-06-30,30276.35,HAUSSE,HAUSSE,HAUSSE,HAUSSE,4,1.0,CONSERVER,212.4657,34.2474
2026-07-01,29964.82,HAUSSE,HAUSSE,HAUSSE,HAUSSE,4,1.0,CONSERVER,208.0933,33.5426
